eps,n_chars,orig_points,new_points,max_err_px,bytes,bpc_bits
0.5,218,200,52,0.4881546908098299,291,10.678899082568808
1.0,218,200,35,0.9538336812293279,257,9.431192660550458
2.0,218,200,27,1.6404281692251161,245,8.990825688073395
4.0,218,200,17,3.018797307581527,225,8.256880733944953
6.0,218,200,16,5.6299847730761385,224,8.220183486238533
8.0,218,200,11,7.6791419472658875,218,8.0
