scenario,rho,seed,lam_mean,alpha_mean,r_wire_mm,t_skin_mm,A_eff_proxy,density_proxy,tortuosity,DeltaT_proxy
hotspot,0.0,0,0.46276010712186927,0.6226128485101786,0.6832968192819364,2.7471354182122143,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008062445599842951
hotspot,0.0,1,0.4579136677808631,0.5176085460282008,0.6824244602005554,2.621130255233841,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008086182664831323
hotspot,0.0,2,0.5030878405763644,0.49722814879151295,0.6905558113037457,2.5966737785498157,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007899050949055283
hotspot,0.25,0,0.46276010712186927,0.6282921819180771,0.6832968192819364,2.7539506183016926,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008062268400277836
hotspot,0.25,1,0.4579136677808631,0.5179009196522106,0.6824244602005554,2.621481103582653,122.61929588846711,0.07663705993029193,3.1041021979833467,0.00808617348856455
hotspot,0.25,2,0.5030878405763644,0.5038511467859899,0.6905558113037457,2.6046213761431876,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007898852597876678
hotspot,0.75,0,0.46276010712186927,0.5908416294686824,0.6832968192819364,2.709009955362419,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008063437029970715
hotspot,0.75,1,0.4579136677808631,0.48258415736982657,0.6824244602005554,2.579100988843792,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008087282070417765
hotspot,0.75,2,0.5030878405763644,0.5115404945711979,0.6905558113037457,2.6138485934854376,125.5588175094226,0.07847426094338912,3.1041021979833467,0.00789862232324338
shear_band,0.0,0,0.5100867815431543,0.6002603782687711,0.6918156206777678,2.720312453922525,126.01735962867875,0.07876084976792422,3.1041021979833467,0.007867481116699004
shear_band,0.0,1,0.5052335103927331,0.4952560282903072,0.6909420318706919,2.594307233948369,125.69930422407182,0.07856206514004489,3.1041021979833467,0.007890353930045169
shear_band,0.0,2,0.5501316545145608,0.4748756589917006,0.6990236978126209,2.5698507907900408,128.65700772640074,0.08041062982900046,3.1041021979833467,0.007710995108473278
shear_band,0.25,0,0.5100867815431543,0.6059411376036645,0.6918156206777678,2.7271293651243975,126.01735962867875,0.07876084976792422,3.1041021979833467,0.007867312341072078
shear_band,0.25,1,0.5052335103927331,0.4955500112570832,0.6909420318706919,2.5946600135085,125.69930422407182,0.07856206514004489,3.1041021979833467,0.007890345144759439
shear_band,0.25,2,0.5501316545145608,0.4815414809889222,0.6990236978126209,2.5778497771867066,128.65700772640074,0.08041062982900046,3.1041021979833467,0.00771080486704844
shear_band,0.75,0,0.5100867815431543,0.5685460514594424,0.6918156206777678,2.682255261751331,126.01735962867875,0.07876084976792422,3.1041021979833467,0.007868423483916373
shear_band,0.75,1,0.5052335103927331,0.4602337092048911,0.6909420318706919,2.552280451045869,125.69930422407182,0.07856206514004489,3.1041021979833467,0.007891400664973661
shear_band,0.75,2,0.5501316545145608,0.4892658248597417,0.6990236978126209,2.5871189898316898,128.65700772640074,0.08041062982900046,3.1041021979833467,0.007710584427330621
rim,0.0,0,0.46276010712186927,0.707474773152651,0.6832968192819364,2.848969727783181,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008059798653702271
rim,0.0,1,0.4579136677808631,0.6039525315189406,0.6824244602005554,2.7247430378227286,122.61929588846711,0.07663705993029193,3.1041021979833467,0.00808347362804786
rim,0.0,2,0.5030878405763644,0.5828711292840674,0.6905558113037457,2.699445355140881,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007896486808429967
rim,0.25,0,0.46276010712186927,0.7138016568413108,0.6832968192819364,2.856561988209573,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008059601380159893
rim,0.25,1,0.4579136677808631,0.6043092910586413,0.6824244602005554,2.7251711492703694,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008083462438506581
rim,0.25,2,0.5030878405763644,0.589414295694092,0.6905558113037457,2.7072971548329106,125.5588175094226,0.07847426094338912,3.1041021979833467,0.0078962909752569
rim,0.75,0,0.46276010712186927,0.6770296729722473,0.6832968192819364,2.8124356075666967,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008060748073285693
rim,0.75,1,0.4579136677808631,0.5688922420498265,0.6824244602005554,2.682670690459792,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008084573423375324
rim,0.75,2,0.5030878405763644,0.5975499851999154,0.6905558113037457,2.7170599822398986,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007896047492338633
